vin,manufacturer,year
1FF95C5RWPUCU0HSK,Nissan,2016
UMLA2WGQ5TR15GFXI,Toyota,2022
DRGL3C1MAV11P7FFZ,Nissan,2022
9VQR1QX0CR5590VKC,Hyundai,2018
4Z8ABQP7LG1VKGDIZ,Ford,2020
1OQ8SKWXLLMJVSO1D,Chevrolet,2013
6LNOZS1Z4RQA7PHFU,Audi,1993
98F6ZSLH8T0PHCQSG,Chevrolet,2020
3MC66Q33M75FYXFM8,Chevrolet,2022
0FWT0IFFSG9KWLC4J,Chevrolet,1998
L0YRLLCJ4FRDB5T1K,BMW,2009
SCNFXOBFLRIPVZZDA,Volkswagen,1991
P00VA5Y9OWA13S8T5,Nissan,1995
RZQ9WY6OMCFTC0MZ2,Hyundai,1997
QEPYZSCFCOTIYWWUI,Ford,2004
2Y7H9EL865UX3J33X,Toyota,2008
RHV49MLT07PIVGMR7,Nissan,2006
Q5DX8AJO33LVIJYP6,Mercedes,1995
K63X80DDIC2EALJ4Z,BMW,2015
R0R9EN5CA0D4S18WR,Mercedes,1998
Q4COD79J2RH5KLDCU,BMW,2022
W7VLPUMT9G8HR5KN5,Audi,2014
KUACHIAFK7QXM4OGU,Volkswagen,1995
FSV3HVIBL4FG6UJ9X,Honda,2004
LGHNEI3PSJD7L774W,Chevrolet,1992
PRZ4SN4TBEZWSIXD5,Chevrolet,2024
Z1L6XFCHCVWB30BOK,Volkswagen,2005
E2IVMAZHZWSB25FKE,Toyota,2009
QAWGULB7M0WP8ELWK,Honda,1996
0ETJYMYJ3N2Y9N49A,Toyota,2024
AR6H2VB2S979F07GH,Toyota,1998
4INLYI22FO31MOZIL,Toyota,2015
XE629P7UDWTBMGIWK,Toyota,2013
X9CHT9EJVDOFGAC7D,Mercedes,1998
86WVWEXT6HHRN62VX,Volkswagen,2016
157I9CMCNQE9K2PY2,Honda,2004
M03ARHDAH7ABGI86V,Honda,2011
YH8IWXECZYXW53NA0,Toyota,2003
M0QG6MQLPQ4G94FWR,Nissan,2012
5XQ1NC2GPY8JMBC5T,Audi,2010
1EMOH2XXPNH2HVST1,Audi,1990
UD9BBBSKUUOD8516F,Honda,1993
M7KIRMSC5N86U07T0,Chevrolet,2001
7MSU863RDVCKS3CQ4,BMW,1994
