transmission,price,status
automatic,31304.99,inactive
manual,39578.99,sold
automatic,57674.99,sold
manual,78298.99,inactive
automatic,77363.99,inactive
automatic,63228.99,inactive
manual,44903.99,active
automatic,72012.99,inactive
manual,75807.99,sold
manual,77434.99,sold
manual,35100.99,inactive
automatic,28060.99,sold
automatic,48500.99,sold
automatic,47774.99,active
manual,23289.99,inactive
manual,54860.99,inactive
manual,78443.99,active
manual,43781.99,active
automatic,68820.99,sold
automatic,78908.99,sold
automatic,59791.99,inactive
automatic,62411.99,active
automatic,45860.99,inactive
automatic,59100.99,inactive
automatic,66905.99,inactive
automatic,43006.99,inactive
automatic,44556.99,sold
automatic,57394.99,active
automatic,69002.99,inactive
manual,33936.99,inactive
automatic,26625.99,inactive
automatic,71079.99,sold
automatic,29482.99,sold
automatic,67367.99,inactive
manual,71190.99,sold
manual,58264.99,inactive
manual,65155.99,active
automatic,79163.99,sold
automatic,61512.99,active
manual,28232.99,active
manual,45481.99,inactive
manual,32224.99,active
manual,20074.99,active
automatic,57256.99,active
automatic,25707.99,inactive
automatic,35127.99,inactive
manual,39087.99,inactive
automatic,72707.99,active
automatic,73300.99,active
automatic,49825.99,sold
manual,48211.99,active
manual,29436.99,active
manual,41771.99,sold
manual,53464.99,sold
automatic,43388.99,active
manual,60855.99,inactive
automatic,39557.99,inactive
manual,62364.99,active
automatic,49642.99,inactive
manual,79816.99,active
automatic,47222.99,active
automatic,64563.99,inactive
automatic,55701.99,inactive
manual,25828.99,sold
manual,25726.99,inactive
manual,28811.99,sold
automatic,40993.99,active
manual,77181.99,inactive
automatic,32169.99,inactive
manual,44693.99,inactive
automatic,67669.99,inactive
automatic,53170.99,inactive
automatic,59108.99,inactive
automatic,65399.99,active
automatic,59526.99,active
manual,48196.99,active
automatic,52962.99,active
automatic,70297.99,sold
automatic,32525.99,active
manual,38037.99,sold
automatic,68004.99,inactive
automatic,60197.99,inactive
manual,51006.99,active
automatic,20689.99,active
automatic,37820.99,active
manual,58182.99,sold
manual,75211.99,inactive
automatic,20059.99,inactive
automatic,25125.99,sold
automatic,60366.99,sold
manual,70818.99,active
manual,21611.99,sold
automatic,24644.99,sold
automatic,62569.99,active
manual,52892.99,inactive
automatic,67843.99,sold
automatic,66875.99,inactive
manual,27812.99,active
automatic,29200.99,sold
manual,32226.99,sold
manual,44331.99,sold
automatic,45165.99,active
manual,69153.99,sold
automatic,23863.99,inactive
manual,65785.99,inactive
manual,48281.99,inactive
manual,55704.99,active
manual,73704.99,inactive
manual,22390.99,inactive
manual,63530.99,inactive
manual,28079.99,sold
manual,48925.99,sold
manual,47674.99,sold
automatic,76762.99,active
manual,45143.99,inactive
manual,40983.99,inactive
manual,62545.99,sold
manual,44463.99,inactive
automatic,61072.99,sold
automatic,67782.99,active
automatic,60895.99,active
manual,53907.99,sold
manual,65438.99,inactive
manual,27651.99,sold
automatic,25998.99,sold
manual,33665.99,sold
automatic,61133.99,active
manual,41961.99,inactive
automatic,54606.99,inactive
manual,48504.99,inactive
manual,28555.99,inactive
automatic,21318.99,sold
